Mod:Item:MetaData, Localized Name
gregtech:gt.blockores:1884, Desh Ore
gregtech:gt.blockores:2884, Desh Ore
gregtech:gt.blockores:3884, Desh Ore
gregtech:gt.blockores:4884, Desh Ore
gregtech:gt.blockores:5884, Desh Ore
gregtech:gt.blockores:6884, Desh Ore
gregtech:gt.blockores:16884, Small Desh Ore
gregtech:gt.blockores:17884, Small Desh Ore
gregtech:gt.blockores:18884, Small Desh Ore
gregtech:gt.blockores:19884, Small Desh Ore
gregtech:gt.blockores:20884, Small Desh Ore
gregtech:gt.blockores:21884, Small Desh Ore
gregtech:gt.blockores:22884, Small Desh Ore
gregtech:gt.blockores:894, Cheese Ore
gregtech:gt.blockores:1894, Cheese Ore
gregtech:gt.blockores:2894, Cheese Ore
gregtech:gt.blockores:3894, Cheese Ore
gregtech:gt.blockores:4894, Cheese Ore
gregtech:gt.blockores:5894, Cheese Ore
gregtech:gt.blockores:6894, Cheese Ore
gregtech:gt.blockores:16894, Small Cheese Ore
gregtech:gt.blockores:17894, Small Cheese Ore
gregtech:gt.blockores:18894, Small Cheese Ore
gregtech:gt.blockores:19894, Small Cheese Ore
gregtech:gt.blockores:20894, Small Cheese Ore
gregtech:gt.blockores:21894, Small Cheese Ore
gregtech:gt.blockores:22894, Small Cheese Ore
gregtech:gt.blockores:900, Mirabilite Ore
gregtech:gt.blockores:1900, Mirabilite Ore
gregtech:gt.blockores:2900, Mirabilite Ore
gregtech:gt.blockores:3900, Mirabilite Ore
gregtech:gt.blockores:4900, Mirabilite Ore
gregtech:gt.blockores:5900, Mirabilite Ore
gregtech:gt.blockores:6900, Mirabilite Ore
gregtech:gt.blockores:16900, Small Mirabilite Ore
gregtech:gt.blockores:17900, Small Mirabilite Ore
gregtech:gt.blockores:18900, Small Mirabilite Ore
gregtech:gt.blockores:19900, Small Mirabilite Ore
gregtech:gt.blockores:20900, Small Mirabilite Ore
gregtech:gt.blockores:21900, Small Mirabilite Ore
gregtech:gt.blockores:22900, Small Mirabilite Ore
gregtech:gt.blockores:901, Mica Ore
gregtech:gt.blockores:1901, Mica Ore
gregtech:gt.blockores:2901, Mica Ore
gregtech:gt.blockores:3901, Mica Ore
gregtech:gt.blockores:4901, Mica Ore
gregtech:gt.blockores:5901, Mica Ore
gregtech:gt.blockores:6901, Mica Ore
gregtech:gt.blockores:16901, Small Mica Ore
gregtech:gt.blockores:17901, Small Mica Ore
gregtech:gt.blockores:18901, Small Mica Ore
gregtech:gt.blockores:19901, Small Mica Ore
gregtech:gt.blockores:20901, Small Mica Ore
gregtech:gt.blockores:21901, Small Mica Ore
gregtech:gt.blockores:22901, Small Mica Ore
gregtech:gt.blockores:902, Talc
gregtech:gt.blockores:1902, Talc
gregtech:gt.blockores:2902, Talc
gregtech:gt.blockores:3902, Talc
gregtech:gt.blockores:4902, Talc
gregtech:gt.blockores:5902, Talc
gregtech:gt.blockores:6902, Talc
gregtech:gt.blockores:16902, Small Talc
gregtech:gt.blockores:17902, Small Talc
gregtech:gt.blockores:18902, Small Talc
gregtech:gt.blockores:19902, Small Talc
gregtech:gt.blockores:20902, Small Talc
gregtech:gt.blockores:21902, Small Talc
gregtech:gt.blockores:22902, Small Talc
gregtech:gt.blockores:903, Trona Ore
gregtech:gt.blockores:1903, Trona Ore
gregtech:gt.blockores:2903, Trona Ore
gregtech:gt.blockores:3903, Trona Ore
gregtech:gt.blockores:4903, Trona Ore
gregtech:gt.blockores:5903, Trona Ore
gregtech:gt.blockores:6903, Trona Ore
gregtech:gt.blockores:16903, Small Trona Ore
gregtech:gt.blockores:17903, Small Trona Ore
gregtech:gt.blockores:18903, Small Trona Ore
gregtech:gt.blockores:19903, Small Trona Ore
gregtech:gt.blockores:20903, Small Trona Ore
gregtech:gt.blockores:21903, Small Trona Ore
gregtech:gt.blockores:22903, Small Trona Ore
gregtech:gt.blockores:904, Barite Ore
gregtech:gt.blockores:1904, Barite Ore
gregtech:gt.blockores:2904, Barite Ore
gregtech:gt.blockores:3904, Barite Ore
gregtech:gt.blockores:4904, Barite Ore
gregtech:gt.blockores:5904, Barite Ore
gregtech:gt.blockores:6904, Barite Ore
gregtech:gt.blockores:16904, Small Barite Ore
gregtech:gt.blockores:17904, Small Barite Ore
gregtech:gt.blockores:18904, Small Barite Ore
gregtech:gt.blockores:19904, Small Barite Ore
gregtech:gt.blockores:20904, Small Barite Ore
gregtech:gt.blockores:21904, Small Barite Ore
gregtech:gt.blockores:22904, Small Barite Ore
gregtech:gt.blockores:905, Bastnasite Ore
gregtech:gt.blockores:1905, Bastnasite Ore
gregtech:gt.blockores:2905, Bastnasite Ore
gregtech:gt.blockores:3905, Bastnasite Ore
gregtech:gt.blockores:4905, Bastnasite Ore
gregtech:gt.blockores:5905, Bastnasite Ore
gregtech:gt.blockores:6905, Bastnasite Ore
gregtech:gt.blockores:16905, Small Bastnasite Ore
gregtech:gt.blockores:17905, Small Bastnasite Ore
gregtech:gt.blockores:18905, Small Bastnasite Ore
gregtech:gt.blockores:19905, Small Bastnasite Ore
gregtech:gt.blockores:20905, Small Bastnasite Ore
gregtech:gt.blockores:21905, Small Bastnasite Ore
gregtech:gt.blockores:22905, Small Bastnasite Ore
gregtech:gt.blockores:906, Garnierite Ore
gregtech:gt.blockores:1906, Garnierite Ore
gregtech:gt.blockores:2906, Garnierite Ore
gregtech:gt.blockores:3906, Garnierite Ore
gregtech:gt.blockores:4906, Garnierite Ore
gregtech:gt.blockores:5906, Garnierite Ore
gregtech:gt.blockores:6906, Garnierite Ore
gregtech:gt.blockores:16906, Small Garnierite Ore
gregtech:gt.blockores:17906, Small Garnierite Ore
gregtech:gt.blockores:18906, Small Garnierite Ore
gregtech:gt.blockores:19906, Small Garnierite Ore
gregtech:gt.blockores:20906, Small Garnierite Ore
gregtech:gt.blockores:21906, Small Garnierite Ore
gregtech:gt.blockores:22906, Small Garnierite Ore
gregtech:gt.blockores:907, Lepidolite Ore
gregtech:gt.blockores:1907, Lepidolite Ore
gregtech:gt.blockores:2907, Lepidolite Ore
gregtech:gt.blockores:3907, Lepidolite Ore
gregtech:gt.blockores:4907, Lepidolite Ore
gregtech:gt.blockores:5907, Lepidolite Ore
gregtech:gt.blockores:6907, Lepidolite Ore
gregtech:gt.blockores:16907, Small Lepidolite Ore
gregtech:gt.blockores:17907, Small Lepidolite Ore
gregtech:gt.blockores:18907, Small Lepidolite Ore
gregtech:gt.blockores:19907, Small Lepidolite Ore
gregtech:gt.blockores:20907, Small Lepidolite Ore
gregtech:gt.blockores:21907, Small Lepidolite Ore
gregtech:gt.blockores:22907, Small Lepidolite Ore
gregtech:gt.blockores:908, Magnesite Ore
gregtech:gt.blockores:1908, Magnesite Ore
gregtech:gt.blockores:2908, Magnesite Ore
gregtech:gt.blockores:3908, Magnesite Ore
gregtech:gt.blockores:4908, Magnesite Ore
gregtech:gt.blockores:5908, Magnesite Ore
gregtech:gt.blockores:6908, Magnesite Ore
gregtech:gt.blockores:16908, Small Magnesite Ore
gregtech:gt.blockores:17908, Small Magnesite Ore
gregtech:gt.blockores:18908, Small Magnesite Ore
gregtech:gt.blockores:19908, Small Magnesite Ore
gregtech:gt.blockores:20908, Small Magnesite Ore
gregtech:gt.blockores:21908, Small Magnesite Ore
gregtech:gt.blockores:22908, Small Magnesite Ore
gregtech:gt.blockores:909, Pentlandite Ore
gregtech:gt.blockores:1909, Pentlandite Ore
gregtech:gt.blockores:2909, Pentlandite Ore
gregtech:gt.blockores:3909, Pentlandite Ore
gregtech:gt.blockores:4909, Pentlandite Ore
gregtech:gt.blockores:5909, Pentlandite Ore
gregtech:gt.blockores:6909, Pentlandite Ore
gregtech:gt.blockores:16909, Small Pentlandite Ore
gregtech:gt.blockores:17909, Small Pentlandite Ore
gregtech:gt.blockores:18909, Small Pentlandite Ore
gregtech:gt.blockores:19909, Small Pentlandite Ore
gregtech:gt.blockores:20909, Small Pentlandite Ore
gregtech:gt.blockores:21909, Small Pentlandite Ore
gregtech:gt.blockores:22909, Small Pentlandite Ore
gregtech:gt.blockores:910, Scheelite Ore
gregtech:gt.blockores:1910, Scheelite Ore
gregtech:gt.blockores:2910, Scheelite Ore
gregtech:gt.blockores:3910, Scheelite Ore
gregtech:gt.blockores:4910, Scheelite Ore
gregtech:gt.blockores:5910, Scheelite Ore
gregtech:gt.blockores:6910, Scheelite Ore
gregtech:gt.blockores:16910, Small Scheelite Ore
gregtech:gt.blockores:17910, Small Scheelite Ore
gregtech:gt.blockores:18910, Small Scheelite Ore
gregtech:gt.blockores:19910, Small Scheelite Ore
gregtech:gt.blockores:20910, Small Scheelite Ore
gregtech:gt.blockores:21910, Small Scheelite Ore
gregtech:gt.blockores:22910, Small Scheelite Ore
gregtech:gt.blockores:911, Alunite Ore
gregtech:gt.blockores:1911, Alunite Ore
gregtech:gt.blockores:2911, Alunite Ore
gregtech:gt.blockores:3911, Alunite Ore
gregtech:gt.blockores:4911, Alunite Ore
gregtech:gt.blockores:5911, Alunite Ore
gregtech:gt.blockores:6911, Alunite Ore
gregtech:gt.blockores:16911, Small Alunite Ore
gregtech:gt.blockores:17911, Small Alunite Ore
gregtech:gt.blockores:18911, Small Alunite Ore
gregtech:gt.blockores:19911, Small Alunite Ore
gregtech:gt.blockores:20911, Small Alunite Ore
gregtech:gt.blockores:21911, Small Alunite Ore
gregtech:gt.blockores:22911, Small Alunite Ore
gregtech:gt.blockores:912, Chrysotile Ore
gregtech:gt.blockores:1912, Chrysotile Ore
gregtech:gt.blockores:2912, Chrysotile Ore
gregtech:gt.blockores:3912, Chrysotile Ore
gregtech:gt.blockores:4912, Chrysotile Ore
gregtech:gt.blockores:5912, Chrysotile Ore
gregtech:gt.blockores:6912, Chrysotile Ore
gregtech:gt.blockores:16912, Small Chrysotile Ore
gregtech:gt.blockores:17912, Small Chrysotile Ore
gregtech:gt.blockores:18912, Small Chrysotile Ore
gregtech:gt.blockores:19912, Small Chrysotile Ore
gregtech:gt.blockores:20912, Small Chrysotile Ore
gregtech:gt.blockores:21912, Small Chrysotile Ore
gregtech:gt.blockores:22912, Small Chrysotile Ore
gregtech:gt.blockores:913, Realgar Ore
gregtech:gt.blockores:1913, Realgar Ore
gregtech:gt.blockores:2913, Realgar Ore
gregtech:gt.blockores:3913, Realgar Ore
gregtech:gt.blockores:4913, Realgar Ore
gregtech:gt.blockores:5913, Realgar Ore
gregtech:gt.blockores:6913, Realgar Ore
gregtech:gt.blockores:16913, Small Realgar Ore
gregtech:gt.blockores:17913, Small Realgar Ore
gregtech:gt.blockores:18913, Small Realgar Ore
gregtech:gt.blockores:19913, Small Realgar Ore
gregtech:gt.blockores:20913, Small Realgar Ore
gregtech:gt.blockores:21913, Small Realgar Ore
gregtech:gt.blockores:22913, Small Realgar Ore
gregtech:gt.blockores:914, Dolomite Ore
gregtech:gt.blockores:1914, Dolomite Ore
gregtech:gt.blockores:2914, Dolomite Ore
gregtech:gt.blockores:3914, Dolomite Ore
gregtech:gt.blockores:4914, Dolomite Ore
gregtech:gt.blockores:5914, Dolomite Ore
gregtech:gt.blockores:6914, Dolomite Ore
gregtech:gt.blockores:16914, Small Dolomite Ore
gregtech:gt.blockores:17914, Small Dolomite Ore
gregtech:gt.blockores:18914, Small Dolomite Ore
gregtech:gt.blockores:19914, Small Dolomite Ore
gregtech:gt.blockores:20914, Small Dolomite Ore
gregtech:gt.blockores:21914, Small Dolomite Ore
gregtech:gt.blockores:22914, Small Dolomite Ore
gregtech:gt.blockores:915, Wollastonite Ore
gregtech:gt.blockores:1915, Wollastonite Ore
gregtech:gt.blockores:2915, Wollastonite Ore
gregtech:gt.blockores:3915, Wollastonite Ore
gregtech:gt.blockores:4915, Wollastonite Ore
gregtech:gt.blockores:5915, Wollastonite Ore
gregtech:gt.blockores:6915, Wollastonite Ore
gregtech:gt.blockores:16915, Small Wollastonite Ore
gregtech:gt.blockores:17915, Small Wollastonite Ore
gregtech:gt.blockores:18915, Small Wollastonite Ore
gregtech:gt.blockores:19915, Small Wollastonite Ore
gregtech:gt.blockores:20915, Small Wollastonite Ore
gregtech:gt.blockores:21915, Small Wollastonite Ore
gregtech:gt.blockores:22915, Small Wollastonite Ore
gregtech:gt.blockores:916, Zeolite Ore
gregtech:gt.blockores:1916, Zeolite Ore
gregtech:gt.blockores:2916, Zeolite Ore
gregtech:gt.blockores:3916, Zeolite Ore
gregtech:gt.blockores:4916, Zeolite Ore
gregtech:gt.blockores:5916, Zeolite Ore
gregtech:gt.blockores:6916, Zeolite Ore
gregtech:gt.blockores:16916, Small Zeolite Ore
gregtech:gt.blockores:17916, Small Zeolite Ore
gregtech:gt.blockores:18916, Small Zeolite Ore
gregtech:gt.blockores:19916, Small Zeolite Ore
gregtech:gt.blockores:20916, Small Zeolite Ore
gregtech:gt.blockores:21916, Small Zeolite Ore
gregtech:gt.blockores:22916, Small Zeolite Ore
gregtech:gt.blockores:917, Banded Iron Ore
gregtech:gt.blockores:1917, Banded Iron Ore
gregtech:gt.blockores:2917, Banded Iron Ore
gregtech:gt.blockores:3917, Banded Iron Ore
gregtech:gt.blockores:4917, Banded Iron Ore
gregtech:gt.blockores:5917, Banded Iron Ore
gregtech:gt.blockores:6917, Banded Iron Ore
gregtech:gt.blockores:16917, Small Banded Iron Ore
gregtech:gt.blockores:17917, Small Banded Iron Ore
gregtech:gt.blockores:18917, Small Banded Iron Ore
gregtech:gt.blockores:19917, Small Banded Iron Ore
gregtech:gt.blockores:20917, Small Banded Iron Ore
gregtech:gt.blockores:21917, Small Banded Iron Ore
gregtech:gt.blockores:22917, Small Banded Iron Ore
gregtech:gt.blockores:918, Ilmenite Ore
gregtech:gt.blockores:1918, Ilmenite Ore
gregtech:gt.blockores:2918, Ilmenite Ore
gregtech:gt.blockores:3918, Ilmenite Ore
gregtech:gt.blockores:4918, Ilmenite Ore
gregtech:gt.blockores:5918, Ilmenite Ore
gregtech:gt.blockores:6918, Ilmenite Ore
gregtech:gt.blockores:16918, Small Ilmenite Ore
gregtech:gt.blockores:17918, Small Ilmenite Ore
gregtech:gt.blockores:18918, Small Ilmenite Ore
gregtech:gt.blockores:19918, Small Ilmenite Ore
gregtech:gt.blockores:20918, Small Ilmenite Ore
gregtech:gt.blockores:21918, Small Ilmenite Ore
gregtech:gt.blockores:22918, Small Ilmenite Ore
gregtech:gt.blockores:919, Pollucite Ore
gregtech:gt.blockores:1919, Pollucite Ore
gregtech:gt.blockores:2919, Pollucite Ore
gregtech:gt.blockores:3919, Pollucite Ore
gregtech:gt.blockores:4919, Pollucite Ore
gregtech:gt.blockores:5919, Pollucite Ore
gregtech:gt.blockores:6919, Pollucite Ore
gregtech:gt.blockores:16919, Small Pollucite Ore
gregtech:gt.blockores:17919, Small Pollucite Ore
gregtech:gt.blockores:18919, Small Pollucite Ore
gregtech:gt.blockores:19919, Small Pollucite Ore
gregtech:gt.blockores:20919, Small Pollucite Ore
gregtech:gt.blockores:21919, Small Pollucite Ore
gregtech:gt.blockores:22919, Small Pollucite Ore
gregtech:gt.blockores:920, Spodumene Ore
gregtech:gt.blockores:1920, Spodumene Ore
gregtech:gt.blockores:2920, Spodumene Ore
gregtech:gt.blockores:3920, Spodumene Ore
gregtech:gt.blockores:4920, Spodumene Ore
gregtech:gt.blockores:5920, Spodumene Ore
gregtech:gt.blockores:6920, Spodumene Ore
gregtech:gt.blockores:16920, Small Spodumene Ore
gregtech:gt.blockores:17920, Small Spodumene Ore
gregtech:gt.blockores:18920, Small Spodumene Ore
gregtech:gt.blockores:19920, Small Spodumene Ore
gregtech:gt.blockores:20920, Small Spodumene Ore
gregtech:gt.blockores:21920, Small Spodumene Ore
gregtech:gt.blockores:22920, Small Spodumene Ore
gregtech:gt.blockores:921, Tantalite Ore
gregtech:gt.blockores:1921, Tantalite Ore
gregtech:gt.blockores:2921, Tantalite Ore
gregtech:gt.blockores:3921, Tantalite Ore
gregtech:gt.blockores:4921, Tantalite Ore
gregtech:gt.blockores:5921, Tantalite Ore
gregtech:gt.blockores:6921, Tantalite Ore
gregtech:gt.blockores:16921, Small Tantalite Ore
gregtech:gt.blockores:17921, Small Tantalite Ore
gregtech:gt.blockores:18921, Small Tantalite Ore
gregtech:gt.blockores:19921, Small Tantalite Ore
gregtech:gt.blockores:20921, Small Tantalite Ore
gregtech:gt.blockores:21921, Small Tantalite Ore
gregtech:gt.blockores:22921, Small Tantalite Ore
gregtech:gt.blockores:922, Uraninite Ore
gregtech:gt.blockores:1922, Uraninite Ore
gregtech:gt.blockores:2922, Uraninite Ore
gregtech:gt.blockores:3922, Uraninite Ore
gregtech:gt.blockores:4922, Uraninite Ore
gregtech:gt.blockores:5922, Uraninite Ore
gregtech:gt.blockores:6922, Uraninite Ore
gregtech:gt.blockores:16922, Small Uraninite Ore
gregtech:gt.blockores:17922, Small Uraninite Ore
gregtech:gt.blockores:18922, Small Uraninite Ore
gregtech:gt.blockores:19922, Small Uraninite Ore
gregtech:gt.blockores:20922, Small Uraninite Ore
gregtech:gt.blockores:21922, Small Uraninite Ore
gregtech:gt.blockores:22922, Small Uraninite Ore
gregtech:gt.blockores:923, Vanadium Magnetite Ore
gregtech:gt.blockores:1923, Vanadium Magnetite Ore
gregtech:gt.blockores:2923, Vanadium Magnetite Ore
gregtech:gt.blockores:3923, Vanadium Magnetite Ore
gregtech:gt.blockores:4923, Vanadium Magnetite Ore
gregtech:gt.blockores:5923, Vanadium Magnetite Ore
gregtech:gt.blockores:6923, Vanadium Magnetite Ore
gregtech:gt.blockores:16923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:17923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:18923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:19923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:20923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:21923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:22923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:924, Kyanite Ore
gregtech:gt.blockores:1924, Kyanite Ore
gregtech:gt.blockores:2924, Kyanite Ore
gregtech:gt.blockores:3924, Kyanite Ore
gregtech:gt.blockores:4924, Kyanite Ore
gregtech:gt.blockores:5924, Kyanite Ore
gregtech:gt.blockores:6924, Kyanite Ore
gregtech:gt.blockores:16924, Small Kyanite Ore
gregtech:gt.blockores:17924, Small Kyanite Ore
gregtech:gt.blockores:18924, Small Kyanite Ore
gregtech:gt.blockores:19924, Small Kyanite Ore
gregtech:gt.blockores:20924, Small Kyanite Ore
gregtech:gt.blockores:21924, Small Kyanite Ore
gregtech:gt.blockores:22924, Small Kyanite Ore
gregtech:gt.blockores:925, Perlite Ore
gregtech:gt.blockores:1925, Perlite Ore
gregtech:gt.blockores:2925, Perlite Ore
gregtech:gt.blockores:3925, Perlite Ore
gregtech:gt.blockores:4925, Perlite Ore
gregtech:gt.blockores:5925, Perlite Ore
gregtech:gt.blockores:6925, Perlite Ore
gregtech:gt.blockores:16925, Small Perlite Ore
gregtech:gt.blockores:17925, Small Perlite Ore
gregtech:gt.blockores:18925, Small Perlite Ore
gregtech:gt.blockores:19925, Small Perlite Ore
gregtech:gt.blockores:20925, Small Perlite Ore
gregtech:gt.blockores:21925, Small Perlite Ore
gregtech:gt.blockores:22925, Small Perlite Ore
gregtech:gt.blockores:926, Pumice Ore
gregtech:gt.blockores:1926, Pumice Ore
gregtech:gt.blockores:2926, Pumice Ore
gregtech:gt.blockores:3926, Pumice Ore
gregtech:gt.blockores:4926, Pumice Ore
gregtech:gt.blockores:5926, Pumice Ore
gregtech:gt.blockores:6926, Pumice Ore
gregtech:gt.blockores:16926, Small Pumice Ore
gregtech:gt.blockores:17926, Small Pumice Ore
gregtech:gt.blockores:18926, Small Pumice Ore
gregtech:gt.blockores:19926, Small Pumice Ore
gregtech:gt.blockores:20926, Small Pumice Ore
gregtech:gt.blockores:21926, Small Pumice Ore
gregtech:gt.blockores:22926, Small Pumice Ore
gregtech:gt.blockores:927, Bentonite
gregtech:gt.blockores:1927, Bentonite
gregtech:gt.blockores:2927, Bentonite
gregtech:gt.blockores:3927, Bentonite
gregtech:gt.blockores:4927, Bentonite
gregtech:gt.blockores:5927, Bentonite
gregtech:gt.blockores:6927, Bentonite
gregtech:gt.blockores:16927, Small Bentonite
gregtech:gt.blockores:17927, Small Bentonite
gregtech:gt.blockores:18927, Small Bentonite
gregtech:gt.blockores:19927, Small Bentonite
gregtech:gt.blockores:20927, Small Bentonite
gregtech:gt.blockores:21927, Small Bentonite
gregtech:gt.blockores:22927, Small Bentonite
gregtech:gt.blockores:928, Fullers Earth
gregtech:gt.blockores:1928, Fullers Earth
gregtech:gt.blockores:2928, Fullers Earth
gregtech:gt.blockores:3928, Fullers Earth
gregtech:gt.blockores:4928, Fullers Earth
gregtech:gt.blockores:5928, Fullers Earth
gregtech:gt.blockores:6928, Fullers Earth
gregtech:gt.blockores:16928, Small Fullers Earth
gregtech:gt.blockores:17928, Small Fullers Earth
gregtech:gt.blockores:18928, Small Fullers Earth
gregtech:gt.blockores:19928, Small Fullers Earth
gregtech:gt.blockores:20928, Small Fullers Earth
gregtech:gt.blockores:21928, Small Fullers Earth
gregtech:gt.blockores:22928, Small Fullers Earth
gregtech:gt.blockores:929, Kaolinite
gregtech:gt.blockores:1929, Kaolinite
gregtech:gt.blockores:2929, Kaolinite
gregtech:gt.blockores:3929, Kaolinite
gregtech:gt.blockores:4929, Kaolinite
gregtech:gt.blockores:5929, Kaolinite
gregtech:gt.blockores:6929, Kaolinite
gregtech:gt.blockores:16929, Small Kaolinite
gregtech:gt.blockores:17929, Small Kaolinite
gregtech:gt.blockores:18929, Small Kaolinite
gregtech:gt.blockores:19929, Small Kaolinite
gregtech:gt.blockores:20929, Small Kaolinite
gregtech:gt.blockores:21929, Small Kaolinite
gregtech:gt.blockores:22929, Small Kaolinite
gregtech:gt.blockores:930, Brown Limonite Ore
gregtech:gt.blockores:1930, Brown Limonite Ore
gregtech:gt.blockores:2930, Brown Limonite Ore
gregtech:gt.blockores:3930, Brown Limonite Ore
gregtech:gt.blockores:4930, Brown Limonite Ore
gregtech:gt.blockores:5930, Brown Limonite Ore
gregtech:gt.blockores:6930, Brown Limonite Ore
gregtech:gt.blockores:16930, Small Brown Limonite Ore
gregtech:gt.blockores:17930, Small Brown Limonite Ore
gregtech:gt.blockores:18930, Small Brown Limonite Ore
gregtech:gt.blockores:19930, Small Brown Limonite Ore
gregtech:gt.blockores:20930, Small Brown Limonite Ore
gregtech:gt.blockores:21930, Small Brown Limonite Ore
gregtech:gt.blockores:22930, Small Brown Limonite Ore
gregtech:gt.blockores:931, Yellow Limonite Ore
gregtech:gt.blockores:1931, Yellow Limonite Ore
gregtech:gt.blockores:2931, Yellow Limonite Ore
gregtech:gt.blockores:3931, Yellow Limonite Ore
gregtech:gt.blockores:4931, Yellow Limonite Ore
gregtech:gt.blockores:5931, Yellow Limonite Ore
gregtech:gt.blockores:6931, Yellow Limonite Ore
gregtech:gt.blockores:16931, Small Yellow Limonite Ore
gregtech:gt.blockores:17931, Small Yellow Limonite Ore
gregtech:gt.blockores:18931, Small Yellow Limonite Ore
gregtech:gt.blockores:19931, Small Yellow Limonite Ore
gregtech:gt.blockores:20931, Small Yellow Limonite Ore
gregtech:gt.blockores:21931, Small Yellow Limonite Ore
gregtech:gt.blockores:22931, Small Yellow Limonite Ore
gregtech:gt.blockores:932, Vermiculite
gregtech:gt.blockores:1932, Vermiculite
gregtech:gt.blockores:2932, Vermiculite
gregtech:gt.blockores:3932, Vermiculite
gregtech:gt.blockores:4932, Vermiculite
gregtech:gt.blockores:5932, Vermiculite
gregtech:gt.blockores:6932, Vermiculite
gregtech:gt.blockores:16932, Small Vermiculite
gregtech:gt.blockores:17932, Small Vermiculite
gregtech:gt.blockores:18932, Small Vermiculite
gregtech:gt.blockores:19932, Small Vermiculite
gregtech:gt.blockores:20932, Small Vermiculite
gregtech:gt.blockores:21932, Small Vermiculite
gregtech:gt.blockores:22932, Small Vermiculite
gregtech:gt.blockores:933, Glauconite Ore
gregtech:gt.blockores:1933, Glauconite Ore
gregtech:gt.blockores:2933, Glauconite Ore
gregtech:gt.blockores:3933, Glauconite Ore
gregtech:gt.blockores:4933, Glauconite Ore
gregtech:gt.blockores:5933, Glauconite Ore
gregtech:gt.blockores:6933, Glauconite Ore
gregtech:gt.blockores:16933, Small Glauconite Ore
gregtech:gt.blockores:17933, Small Glauconite Ore
gregtech:gt.blockores:18933, Small Glauconite Ore
gregtech:gt.blockores:19933, Small Glauconite Ore
gregtech:gt.blockores:20933, Small Glauconite Ore
gregtech:gt.blockores:21933, Small Glauconite Ore
gregtech:gt.blockores:22933, Small Glauconite Ore
gregtech:gt.blockores:934, Gypsum Ore
gregtech:gt.blockores:1934, Gypsum Ore
gregtech:gt.blockores:2934, Gypsum Ore
gregtech:gt.blockores:3934, Gypsum Ore
gregtech:gt.blockores:4934, Gypsum Ore
gregtech:gt.blockores:5934, Gypsum Ore
gregtech:gt.blockores:6934, Gypsum Ore
gregtech:gt.blockores:16934, Small Gypsum Ore
gregtech:gt.blockores:17934, Small Gypsum Ore
gregtech:gt.blockores:18934, Small Gypsum Ore
gregtech:gt.blockores:19934, Small Gypsum Ore
gregtech:gt.blockores:20934, Small Gypsum Ore
gregtech:gt.blockores:21934, Small Gypsum Ore
gregtech:gt.blockores:22934, Small Gypsum Ore
gregtech:gt.blockores:935, Basaltic Mineral Sand
gregtech:gt.blockores:1935, Basaltic Mineral Sand
gregtech:gt.blockores:2935, Basaltic Mineral Sand
gregtech:gt.blockores:3935, Basaltic Mineral Sand
gregtech:gt.blockores:4935, Basaltic Mineral Sand
gregtech:gt.blockores:5935, Basaltic Mineral Sand
gregtech:gt.blockores:6935, Basaltic Mineral Sand
gregtech:gt.blockores:16935, Small Basaltic Mineral Sand
gregtech:gt.blockores:17935, Small Basaltic Mineral Sand
gregtech:gt.blockores:18935, Small Basaltic Mineral Sand
gregtech:gt.blockores:19935, Small Basaltic Mineral Sand
gregtech:gt.blockores:20935, Small Basaltic Mineral Sand
gregtech:gt.blockores:21935, Small Basaltic Mineral Sand
gregtech:gt.blockores:22935, Small Basaltic Mineral Sand
gregtech:gt.blockores:936, Granitic Mineral Sand
gregtech:gt.blockores:1936, Granitic Mineral Sand
gregtech:gt.blockores:2936, Granitic Mineral Sand
gregtech:gt.blockores:3936, Granitic Mineral Sand
gregtech:gt.blockores:4936, Granitic Mineral Sand
gregtech:gt.blockores:5936, Granitic Mineral Sand
gregtech:gt.blockores:6936, Granitic Mineral Sand
gregtech:gt.blockores:16936, Small Granitic Mineral Sand
gregtech:gt.blockores:17936, Small Granitic Mineral Sand
gregtech:gt.blockores:18936, Small Granitic Mineral Sand
gregtech:gt.blockores:19936, Small Granitic Mineral Sand
gregtech:gt.blockores:20936, Small Granitic Mineral Sand
gregtech:gt.blockores:21936, Small Granitic Mineral Sand
gregtech:gt.blockores:22936, Small Granitic Mineral Sand
gregtech:gt.blockores:937, Cassiterite Sand
gregtech:gt.blockores:1937, Cassiterite Sand
gregtech:gt.blockores:2937, Cassiterite Sand
gregtech:gt.blockores:3937, Cassiterite Sand
gregtech:gt.blockores:4937, Cassiterite Sand
gregtech:gt.blockores:5937, Cassiterite Sand
gregtech:gt.blockores:6937, Cassiterite Sand
gregtech:gt.blockores:16937, Small Cassiterite Sand
gregtech:gt.blockores:17937, Small Cassiterite Sand
gregtech:gt.blockores:18937, Small Cassiterite Sand
gregtech:gt.blockores:19937, Small Cassiterite Sand
gregtech:gt.blockores:20937, Small Cassiterite Sand
gregtech:gt.blockores:21937, Small Cassiterite Sand
gregtech:gt.blockores:22937, Small Cassiterite Sand
gregtech:gt.blockores:938, Garnet Sand
